Word,Meaning
allocate,"jap, shpërndaj, gjej"
allocated,vendosur
allocating,duke vendosur
allocation,vendndodhje
allocations,vendndodhjet
allot,"jap, shpërndaj"
allotted,"dhnë; dhash, shpërndava"
allow,lejoj
allowable,i/e lejueshme
allowance,para xhepi
allowances,para xhepi
allowed,lejuar; lejova
allowing,duke lejuar
allows,lejon
allure,tërheqës; joshës
allured,tërheqës; joshs
allurement,tundim
allures,tërheq; josh
alluring,duke joshur
allusion,iluzion
ally,aleat
allying,duke bërë aleancë
almanac,kalendar
almanacs,kalendarët
almighty,1. zot 2. i/e plotfuqishëm
almond,bajame
almonds,bajame
almoner,asistent(punonjës social)
almost,pothuajse
alms,bamirësi
almshouse,shtëpi e ndihmës për të varfërit
almshouses,shtëpi bamirësie
almsman,"lypës, kërkues lëmoshe"
aloes,fushe e lagur
aloft,lart
alone,vetëm
along,bashkë me; në drejtim të
alongside,anash; përceç
aloof,indiferent
aloud,me zë të lartë
alpha,alfa
alphabet,alfabet
alphabetical,alfabetik
alphonso,Alfonso
alps,malet
already,tashmë
also,gjithashtu
alt,notë e lartë muzikore
altar,altar
altars,altare
alter,"ndryshoj, modifikoj"
alteration,"ndryshim, modifikim"
alterations,"ndryshime, modifikime"
altercations,"grindje, zënje"
altered,"ndryshuar, modifikuar"
altering,duke ndryshuar
alternate,alternoj
alternately,në mënyrë alternative
alternating,duke alternuar
alternation,rrotullim
alternative,alternativë; mundësi
alternatives,alternativa; mundësira
alters,"ndryshon, modifikon"
although,megjithëse
altitude,lartësi
altogether,sëbashku
altruistic,altruist
alway,gjithmonë
always,gjithmonë
am,jam
amain,me forcë; papritur
amassed,mbledhur
amateur,"amator, joprofesional"
amateurs,amatorët
amaze,e habitshme
amazed,habitur
amazedly,në mënyrë të habitshme
amazement,habi
amazes,habit
amazing,"e mrekullueshme, e habitshme"
amazons,femër luftëtare (myth)
ambassador,ambasador
ambassadors,ambasadorët
amber,ambra
ambiguities,dykuptimet; paqartësitë
ambiguity,dykuptime; paqartësi
ambiguous,i/e dykuptimtë; i/e paqartë
ambiguously,në mënyrë të dykuptimtë; në mënyrë të paqartë
ambition,ambicje
ambitions,ambicjet
ambitious,ambicioz
ambitiously,në mënyrë ambicioze
amble,ecje e lehtë
ambled,eca lehtë
ambles,ecën lehtë
ambling,duke ecur lehtë
ambrosia,nektar
ambulances,ambulancat
ambulation,ecje nga një vend tek tjetri
ambush,"fshehje, maskim, pritë"
ambushes,"fsheh, befasoj, fshehje, befasim"
amen,ashtu qoftë
amenable,i ndikueshëm
amend,ndryshoj; përmirësoj
amended,ndryshuar; përmirësuar
amending,duke ndryshuar; duke përmirësuar
amendment,ndryshim
amends,ndryshon; përmirëson
amerce,dënoj
america,amerika
american,amerikan
americans,americanët
amiable,miqësor
amicably,në mënyrë miqësore
amid,prep. në mes të
amidst,në mes të
amiss,gabim
amity,miqësi
ammunition,municion
amnesty,amnisti
among,në mes të
amongst,"në mes të, midis"
amorous,"i/e pasionuar,dashuruar"
amorously,në mënyrë pasionante
amount,shumë
amounted,shumë; mbledhje
amounts,shumat
amour,dashuri
ampersand,simboli (&) që ka kumtim (edhe)
amphibious,amfib
ample,shumë
ampler,shumë
amplest,më shumë
amplified,përforcuar
amplifier,amplifikator
amplify,përforcoj
amply,dorëdhënës
amputating,"duke prerë, duke hequr"
amuse,"zbavis, argëtoj"
amusement,"zbavitje, argëtim"
amusing,"argëtues, për të qeshur; humor"
an,një; (nyje e pashquar)
analogical,analogjik
analogically,analogjikisht
analogies,analogjitë
analogous,"analog, paralel, i ngjashëm"
analogously,në mënyrë të ngjashme
analogues,"analogji, paralelizëm"
analogy,"analogji, paralelizëm"
analysation,analizim
analyse,analizoj
analysed,analizuar
analyses,analizon
analysing,duke analizuar
analysis,analizë
analyst,analist
analysts,analistë
analytic,analitik
analytical,analitik
analytically,në mënyrë analitike
analyze,analizoj
analyzed,analizuar
analyzing,duke analizuar
anarchy,anarki
anatomical,anatomik
anatomist,anatomist
anatomize,kryej një operacion anatomik
anatomized,kreva një operacion anatomik
anatomy,anatomi
ancestor,paraardhës
ancestors,paraardhësit
ancestral,paraardhësit
ancestry,"paraardhësit, origjina gjineologjike e familjes"
anchor,ankor
anchorage,sperancë
anchoring,lidh fort
anchors,sperancat
anchovies,peshk i vogël
ancient,i lashtë
ancients,personat e lashtë
ancillary,"ndihmëse, e dorës së dytë"
ancle,kavilja e këmbës
and,"conj. edhe, dhe"
and so forth,e tjera
andirons,mashë
anew,përsëri
angel,ëngjëll
angelic,ëngjëllor
angelical,ëngjëllor
angelo,ëngjëll
angels,ëngjëj
anger,e. zëmërim; f. zëmëroj
angered,zëmëruar
angering,duke zëmëruar
angerly,në mënyrë të zëmëruar
angers,zëmërimet
angle,"kënd (gjometrik), ana"
angled,këndor
angler,peshkatar
angles,kënde
angling,përkul me kënd
angrily,"me furi, me vrull"
angry,"inat, furi, vrull,"
anguish,"frikë, ankth"
anguished,vuajtur
angular,këndor
anight,natën
anima,shpirt
animadversions,kritiçizëm; kqyrje e imtë
animal,kafshë
animality,kafshëri
animals,kafshët
animate,"bëj të gjallë, gjallëroj"
animated,"bëj të gjallë, gjallëroj"
animates,"bën të gjallë, gjallëron"
animation,"gjallërim, animizim"
animus,armiqësi
ankle,kavilja e këmbës
anna,Ana
annals,arshiva historike
anne,Ana
annex,"f. bashkoj, bashkangjit; e. shtesë, aneks, plotësim."
annexed,aneksuar
annexes,anekson
annexing,duke aneksuar
annihilate,shkatërroj
annihilated,shkatërruar
annihilates,shkatërron
annihilation,shkatërrim
anniversary,përvjetor
announce,shpall
announced,shpallur; shpalla
announcement,shpallje
announcer,lajmëtar
announces,"shpall, lajmron"
announcing,duke shpallur
annoy,"ngacmoj, mërzis"
annoyance,"ngacmim, mërzitje"
annoyed,ngacmuar; ngacmova
annoying,duke ngacmuar
annual,"a. vjetor, i përvitshëm; e. botim i përvitshëm, vjetor"
annulled,anulluar; anullova
anoint,shpërndaj
anointed,shpërndarë
anomalous,jonormal
anomaly,anomali; përjashtim
anon,i panjohur
anonymity,anonim
anonymous,"anonim, pa emër, i panjohur"
another,një tjetër
answer,përgjigje
answerable,e përgjigjëshme
answered,përgjigjur; përgjigja
answerer,përgjigjës
answering,duke ju përgjigjur
answers,përgjigjet
ant,milingonë
antagonist,kundërshtar
antagonistic,kundërshtuese
antagonists,kundërshtarë
ante,"para, përpara"
antecede,paraprinë
antecedent,paraprirës
antecedently,paraprirës
antecedents,paraardhësit
antecedes,shkon më përpara
antechamber,dhomë e pritjes; paradhomë
antenna,antenë
anterior,i parë; i mëparshëm
anthem,hymn; national anthem = hymn kombëtar
anthems,hymne kombëtare
anthropological,antropologjik
anthropology,antropologji
anthropomorphic,antropomorfik
anthropomorphism,antropomorfizëm
anthropomorphists,antropomorfistë
anthropophagi,antropofagi
anthropophaginian,canibal
anti-terror,anti-terrororist-e
anti-terrorism,kundër-terrorizëm; anti-terrorizëm
antic,i çuditshëm
antichemical,antikimike
anticipate,marr pjesë
anticipated,mora pjesë
anticipates,merr pjesë
anticipating,duke marr pjesë
anticipation,pjesëmarrje
anticipations,pjesëmarrjet
anticipatory,pjesëmarrje
antick,bufon
anticly,prej bufoni
antics,trik
antidemocratic,antidemokratik
antidote,ilaç kundër helmit
antidotes,ilaçe kundër helmit
antinomies,konflikte midis dy parimeve ose ligjeve
antinomy,konflikt midis dy parimeve ose ligjeve
antipathy,antipati; kundërshtim
antipodes,pika diametralisht të kundërta
antiquary,studjues antikitetesh
antiquated,"jashtë kohe, jashtë mode"
antique,"antike, shumë të vjetra"
antiquities,antikitete
antiquity,antikitete
antithesis,"kundërshtim, kontrast; antitezë"
antithetic,e kundërshtuar; me antitezë
ants,milingona
anvil,kudhër
anxieties,shqetësimet
anxiety,frikë; shqetësim
anxious,i frikësuar; i shqetësuar
anxiously,me frikë; me shqetësim
any,ndonjë; një; ca
anybody,ndonjë
anyhow,si do qoftë
anyone,kushdo
anything,"çdogjë, ndonjëgjë"
anytime,në çdo kohë
anyway,në çdo mënyrë
anywhere,kudo
anywise,në çdo mënyrë
ap,nga; prej
apace,i/e shpejtë
apart,ndarë
apartheid,aparteid
apartment,"apartament, hyrje"
apartments,"apartamente, hyrje"
ape,majmun
aperture,hapja
apes,majmunë
apex,pika më e lartë
apiece,"çdo, për secilin"
apish,qesharak
apollos,1. Zoti i Diellit (mitologjia greke) 2. modeli i bukurisë
apologies,kërkesat për fajle; justifikimet
apologist,"apologjist, mbështetës"
apologize,kërkoj falje
apologized,kërkuar falje
apology,falje
apoplectic,humbje e ndjenjave
apostle,paraprirës; apostull
apostles,paraprirësit; apostujt
apothecary,farmacist
appal,frikësoj
appall,tmerroj
appalled,tmerruar
appalling,duke tmerruar
appals,tmerron
apparatus,aparat
apparel,veshje
apparelled,veshur; vesha
apparent,adj. i dukshëm; i qartë
apparently,në mënyrë të dukshme
apparition,shpirt; hije; shfaqje
apparitions,shpirtra; hije; shfaqje
apparitor,shfaqje; dalje
appeal,"e. apel, thirrje; f. bëj thirrje"
appealed,thirrur; thirra
appealing,duke thirrur
appeals,"kërkon, thirrjet"
appear,"f. dukem, shfaqem"
appearance,shfaqje; dukje
appearances,"shfaqjet, dukjet"
appeared,"shfaqur, dukur"
appearer,dukje
appearest,më i dukshmi
appearing,"duke u dukur, duke u shfaqur"
appears,duket
appease,"lëshoj, pajtoj"
appeased,pajtuar
appeasement,"zbutje, lëshim"
appeasers,"pajtuesit, qetësuesit"
appellant,apelues
appellants,apeluesë
appellation,apelim
appellations,apelime
append,shtoj
appended,"shtuar, modifikuar"
appendicitis,apendisit
appendix,shtesë
appends,shton
apperception,perceptim
appertain,i përket
appertained,i përket
appertaining,duke i përkatur
appertains,i përket
appetite,oreks; dëshirë; uri
appetites,oreks; dëshirë
appetizers,që shton oreksin; meze.
applaud,duartrokas
applauded,duartrokitur
applauding,duke duartrokitur
applauds,duartroket
applause,duartrokitje
applauses,duartrokitje
apple,mollë
apples,mollë
appliance,pajisje
appliances,pajisje
applicability,zbatueshmëria
applicable,i zbatueshëm
applicants,aplikantët
application,zbatim; program
applications,zbatime; programe
applied,zbatuar
applies,zbaton
apply,zbatoj
applying,duke zbatuar
appoint,"caktoj, emëroj"
appointed,"caktuar, emëruar"
appointees,emërimet
appointment,takim
appointments,takime
appoints,"cakton, emëron"
apportions,ndarjet
appraisal,vlerësim
appraised,vlerëson; admiron
appreciate,vlerëson
appreciated,vlerësuar
appreciates,vlerëson
appreciation,vlerësim
apprehend,kam frikë; kap; arrestoj; kuptoj
apprehended,kapur; arrestuar
apprehending,duke kapur; duke arrestuar
apprehends,kap; arreston
apprehension,kapje; arrestim; kuptim
apprehensions,kapje; arrestime; kuptime
apprehensive,i kapshëm; i kuptueshëm
apprentice,trajnoj; përgatitis
apprenticed,trajnuar; përgatitur
apprentices,nxënës; praktikant; çirak
apprenticeship,koha e praktikimit
appretiated,"vlerësuar, falenderuar"
apprized,njoftuar
approach,f. afroj; e. afrim
approached,afruar; afrova
approachers,afrues
approaches,afron
approaching,duke ju afruar
approbation,aprovim; sanksion
approbations,aprovime; sanksione
approof,provë
appropriate,i/e përshtatshëm
appropriated,përshtatur
appropriately,në mënyrë të përshtatëshme
appropriating,duke ju përshtatur
appropriation,"kapje, konfiskiim"
approval,aprovim
approve,f. aprovoj; mbështes; pohoj; miratoj; konfirmoj
approved,aprovuar
approver,aprovues
approvers,aprovuesa
approves,aprovon
approving,duke aprovuar
approximate,nxjerr përafërsisht
approximately,përafërsisht
approximates,nxjerr përafërsisht
approximating,duke nxjerr përafërsisht
approximation,përafërsi
approximations,përafërsitë
approximatively,përafërsisht
appurtenance,e drejtë e lidhur me pronësinë
appurtenances,të drejta të lidhura me pronësinë
apricocks,kajsi
april,prill
apron,mbulesë mbrojtëse
aprons,mbulesa mbrojtëse
apropos,me qëllim
apt,shkurt. apartament
apter,i/e përshtatshëm
aptest,i/e përshtatshëm
aptitude,aftësi
aptitudes,aftësitë
aptly,aftësisht
aptness,"aftësi, zotësi"
aqua,ujë
aquarium,akuarium
arab,arab
arabian,"arabik, arab"
arabians,arabët
arbitrarily,në mënyrë arbitrare
arbitrary,arbitrarisht
arbitrate,"ndërhyj, gjykoj"
arbitrating,duke ndërhyrë
arbitrator,"arbitër, gjykues"
arbitrators,gjykues mediator
arbitrement,gjykim; kompromis
arbour,pemë
arbours,pemë
arc,hark
arcane,"i fshehtë, sekret, misterioz"
arch,hark
archaic,arkaik
archbishop,arqipeshkop
arched,e harkuar
archer,harkëtar
archers,harkëtarë
archery,harkëtari
architect,arkitekt
architectonic,arkitektonik
architectonical,arkitektonik
architectonically,arkitektonikisht
architects,arkitektët
architectural,arkitekturor
architecture,arkitekturë
archives,arkivat
archways,hyrja nën hark
ardent,xheloz; entuziast
ardour,"entuziazëm, zell"
arduous,i/e vështirë
are,"jemi, how are you? = si je? si jeni?"
area,sipërfaqja
areas,"zonat, fushat"
aren't,nuk jemi
arena,arena
argosies,anije të mëdha; flotë
argosy,anije e madhe; flotë
arguably,në mënyrë të debatueshme
argue,argumentoj; zihet
argued,argumentuar; argumentova
argues,argumenton
arguing,duke argumentuar
argument,argument
argumentation,argumentim
argumentative,argumentues
arguments,argumenta
argumentum,argument
argus,monstër me 100 sy (mitologjia greke)
aries,dashi; shënja e parë e zodiakut
aright,në mënyrë korrekte
arise,ngrej; dukem
arisen,ngritur; dukur
arises,ngren; duket
arising,duke u ngritur
arithmetic,arithmetikë
arithmetical,arithmetik
arithmetician,ekspert në arithmetikë
arithmeticians,eksperta në arithmetikë
ark,kuti
arm,krah
arma,armë
armchair,karrike
armed,armatosur
armful,krahët plot
armies,ushtritë
arming,duke armatosur
armistice,armpushim
armor,armore
armored,"mbrojtur, blinduar"
armory,armëri
armour,armore
armoured,blinduar
armourer,prodhues armësh
armourers,prodhuesa armësh
armours,armore
armoury,armëri
arms,1. krahët 2. armët
army,ushtri
aromatic,aromatik
arose,u ngrita
around,rreth
arouse,stimuloj; nxis
aroused,ngritur
arraign,akuzoj
arraigned,akuzuar; akuzova
arraigning,duke akuzuar
arraignment,akuzim
arrange,rregulloj
arranged,rregulluar; rregullova
arrangement,rregullim
arrangements,rregullimet
arranges,rregullon
arranging,duke rregulluar
arrant,total
arras,varëse
array,rregulloj
arrayed,rregulluar
arrays,grup të dhënash (kompjuter)
arrearages,debite
arrears,vonesat në pagesa
arrest,"f. arrestoj, kap e. arrestim, ndalim"
arrested,arrestuar; arrestova
arrests,arreston
arrival,arritja
arrivance,arritja
arrive,arrij
arrived,"arritur, arrita"
arrives,arriti
arriving,duke arritur
arrogance,arroganca
arrogancy,arroganca
arrogant,arrogant
arrogate,kërkoj në mënyrë arrogante
arrogates,kërkon në mënyrë arrogante
arrow,shigjetë
arrowhead,maja e shigjetës
arrows,shigjeta
arsenal,arsenal
arson,djegje
art,"art; mjeshtëri, zanat; art gallery = galeri e artit"
art gallery,galeri e artit
arteries,arterie
artery,arterie
artful,i/e zgjuar
article,artikull
articles,artikuj
articulate,artikuloj
articulated,"artikuluar, shprehur"
articulately,në mënyrë të qartë
articulation,shqiptim
artifact,"vegla, objekte, vegla primitive"
artifice,trik; teknikë
artificer,ekspert; teknik
artifices,teknika
artificial,artificial
artificially,artificialisht
artillery,artileri
artisans,artizanë
artist,artist
artistic,artistik
artists,artistë
artless,natyral; i pa përpunuar
arts,artet
as,"si, sa, aq sa; në krahasim me; ashtu si;"
as above,siç u tha më lart
as well as,po ashtu; për më tepër
ascend,ngjitës; ngritës
ascended,ngjitur; ngritur
ascending,duke u ngjitur
ascends,ngjitet
ascension,proçesi i ngjitjes
ascent,ngjitja
ascertain,qartësoj
ascertained,qartësuar
ascertaining,duke qartësuar
ascetic,asketik
ascii,kodi standard amerikan për shkëmbimet në informatikë
ascribe,i përkas; i dedikohem
ascribed,ju dedikova
ascribes,i përket; i dedikohet
ascribing,duke ju dedikuar
ash,hi; pluhur
ashamed,i/e turpshme
ashen,"gri, ngjyrë hiri"
ashes,hirërat
ashore,në breg
ashy,në formë hiri; mbuluar me hi
aside,anash
ask,pyes
askance,në mënyrë të pabesë
asked,pyetur; pyeta
asker,pyets
askew,i/e shtrëmbër
asking,duke pyetur duke kërkuar
asks,pyet
aslant,në mënyrë tranversale
asleep,në gjumë
asp,lloj peme; lloj gjarpri;
aspect,aspekt
aspects,aspekte
aspen,Aspen (qytet në Kolorado)
aspersion,thashethem
aspic,xhelatin
aspics,xhelanin
aspiration,frymëzim
aspirations,frymëzime
aspire,frymëzoj
aspired,frymëzuar; frymëzova
aspiring,duke frymëzuar
ass,gomar
assail,sulm
assailable,i sulmueshëm
assailant,sulmues
assailants,sulmuesë
assailed,sulmuar
assailing,duke sulmuar
assails,sulmon
assassinate,"vras, bëj atentat"
assassinated,vrarë
assassination,"vrasje, atentat"
assault,sulm
assaulted,sulmuar
assaulting,duke sulmuar
assaults,sulme
assay,"testoj, shqyrtoj"
assayed,testuar
assaying,duke testuar
assays,teston
asse,aks; bosht
assemblage,mbledhje; asamble
assemble,mbledhje; asamble
assembled,mbledhur
assemblies,mbledhjet; asambletë
assembling,duke u mbledhur
assembly,"asamle, kuvend, linjë montimi; General Assembly = Asamble e Përgjithëshme."
assent,marrëveshje
assented,aprovuar
assenting,duke aprovuar
assert,deklaroj; vlerësoj
asserted,deklaruar; vlerësuar
asserter,vlerësues
asserting,duke vlerësuar
assertion,deklaratë; vlerësim
assertions,deklarata; vlerësime
assertor,vlerësues
asserts,deklaron; vlerëson
asses,gomarë
assess,vlerësoj
assessing,duke vlerësuar
assessment,e. vlerësim; vlerë
asset,vlerë
assets,pasuritë
asseverations,vëzhgime
assiduously,me këmbëngulje
assign,caktoj
assigned,caktuar
assigning,duke caktuar
assignment,caktim; mision; detyrë
assignments,"detyrat, misionet"
assigns,cakton; emëron
assist,ndihmoj
assistance,"asistencë, ndihmë"
assistances,"asistenca, ndihma"
assistant,"ndihmës, Assistant Secretary of State = Ndihmës Sekretari i Shtetit"
assistants,"asistent, ndihmës"
assisted,ndihmuar
assisting,duke ndihmuar
assists,ndihmon
